parallel_changed_file_num,commit_num,file_added,file_removed,file_renamed,file_modified,file_copied,line_added,line_removed,developer_num,duration,commit_density,add_frequency,bug_frequency,change_frequency,delete_frequency,document_frequency,feature_frequency,fix_frequency,improve_frequency,refactor_frequency,remove_frequency,update_frequency,use_frequency,messages_min,messages_max,messages_mean,messages_median
0.000000,15.000000,0.000000,0.000000,0.000000,41.000000,0.000000,516.000000,390.000000,3.000000,-256.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,30.000000,30.000000,30.000000,30.000000
0.000000,7.000000,3.000000,4.000000,0.000000,6.000000,0.000000,140.000000,169.000000,0.000000,48.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,3.000000,1.000000,2.000000,41.000000,70.000000,54.375000,52.500000
0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,97.000000,63.000000,2.000000,-5.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,39.000000,118.000000,56.100000,49.500000
0.000000,51.000000,-3.000000,-5.000000,0.000000,-85.000000,0.000000,-1388.000000,-1001.000000,-5.000000,116.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,22.000000,22.000000,22.000000
0.000000,13.000000,0.000000,0.000000,0.000000,-15.000000,0.000000,-72.000000,-16.000000,-5.000000,178.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,48.000000,39.000000,39.000000
1.000000,19.000000,0.000000,0.000000,0.000000,-16.000000,0.000000,-94.000000,-76.000000,-2.000000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,20.000000,61.000000,42.200000,54.000000
0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0.000000,44.000000,29.000000,2.000000,-37.000000,1.000000,3.000000,1.000000,2.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,4.000000,1.000000,2.000000,112.000000,43.681818,37.500000
0.000000,3.000000,0.000000,0.000000,0.000000,8.000000,0.000000,46.000000,10.000000,1.000000,-216.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,27.000000,50.000000,38.500000,38.500000
0.000000,9.000000,-19.000000,-7.000000,0.000000,-28.000000,0.000000,-574.000000,-337.000000,-3.000000,117.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,18.000000,87.000000,49.666667,47.000000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,-12.000000,-17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,40.000000,25.000000,25.000000
3.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-32.000000,-18.000000,0.000000,8.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.000000,46.000000,46.000000,46.000000
8.000000,83.000000,-57.000000,-9.000000,0.000000,-146.000000,0.000000,-27798.000000,-1316.000000,1.000000,-86.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.000000,402.000000,118.857143,79.000000
0.000000,357.000000,-91.000000,-34.000000,0.000000,-777.000000,0.000000,-25896.000000,-9939.000000,-17.000000,1729.000000,23.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,27.000000,81.000000,52.777778,54.000000
2.000000,4.000000,0.000000,0.000000,0.000000,-6.000000,0.000000,-55.000000,-10.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.000000,55.000000,55.000000,55.000000
9.000000,20.000000,0.000000,0.000000,0.000000,-22.000000,0.000000,-1602.000000,-684.000000,-2.000000,0.000000,-866.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,222.000000,222.000000,222.000000,222.000000
2.000000,126.000000,-8.000000,0.000000,0.000000,-253.000000,0.000000,-3514.000000,-1464.000000,0.000000,-75.000000,-1.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,2.000000,0.000000,2.000000,18.000000,189.000000,51.052632,33.000000
0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-297.000000,-267.000000,0.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.000000,48.000000,48.000000,48.000000
0.000000,6.000000,0.000000,0.000000,0.000000,4.000000,0.000000,383.000000,385.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.000000,0.000000,7.000000,76.000000,30.129032,37.000000
0.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000,7.000000,0.000000,1.000000,-16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,93.000000,46.000000,35.000000
