parallel_changed_file_num,commit_num,file_added,file_removed,file_renamed,file_modified,file_copied,line_added,line_removed,developer_num,duration,commit_density,add_frequency,bug_frequency,change_frequency,delete_frequency,document_frequency,feature_frequency,fix_frequency,improve_frequency,refactor_frequency,remove_frequency,update_frequency,use_frequency,messages_min,messages_max,messages_mean,messages_median
2.000000,6.000000,-8.000000,-2.000000,0.000000,1.000000,0.000000,-275.000000,-113.000000,0.000000,13.000000,-35.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,2.000000,0.000000,0.000000,24.000000,73.000000,42.842105,38.000000
0.000000,11.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-513.000000,-473.000000,-3.000000,6.000000,11.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,56.000000,77.000000,61.400000,57.000000
0.000000,6.000000,7.000000,1.000000,0.000000,74.000000,0.000000,1352.000000,495.000000,0.000000,-13.000000,-1.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,1.000000,26.000000,202.000000,60.250000,43.500000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,18.000000,18.000000,18.000000,18.000000
1.000000,6.000000,0.000000,0.000000,0.000000,5.000000,0.000000,74.000000,-5.000000,-1.000000,1.000000,-115.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,22.000000,75.000000,49.230769,49.000000
0.000000,1.000000,2.000000,0.000000,0.000000,1.000000,0.000000,26.000000,0.000000,1.000000,-21.000000,-298.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000
6.000000,223.000000,748.000000,612.000000,0.000000,2242.000000,0.000000,127949.000000,69187.000000,50.000000,-5.000000,80.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.000000,93.000000,55.125000,53.000000
0.000000,2.000000,-2.000000,0.000000,0.000000,-89.000000,0.000000,-2624.000000,-1312.000000,0.000000,5.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,1.000000,0.000000,1.000000,7.000000,155.000000,54.055556,54.000000
0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,22.000000,0.000000,2.000000,-40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.000000,23.000000,20.000000,20.000000
0.000000,3.000000,0.000000,0.000000,0.000000,4.000000,0.000000,69.000000,6.000000,1.000000,-336.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.000000,44.000000,42.500000,42.500000
