priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
0,0,2,0.000000,163,7,7,22,52,19,2,19,2,574,46,0,0,0,0.200000,0.000000,0.000000,0.200000,0.912594,0.327198
1,0,2,0.000000,119,7,7,0,0,48,5,48,5,1080,113,0,0,7,0.333333,0.000000,0.000000,0.000000,0.041226,0.097292
1,20,9,40.350000,36,13,13,221,240,12,3,12,3,380,116,3,0,0,2.400000,0.266667,0.600000,2.933333,0.046894,0.004164
2,7,11,52.857143,201,3,3,25,20,3,0,3,0,235,0,3,1,0,0.772727,0.000000,0.045455,0.727273,0.055104,0.015857
0,0,2,0.000000,218,9,9,25,58,24,11,24,11,739,354,0,0,0,0.200000,0.000000,0.000000,0.200000,0.856896,0.104977
1,1,8,18.000000,52,1,1,0,0,12,3,12,3,644,95,3,0,23,0.600000,0.066667,0.066667,0.266667,0.030981,0.793639
1,1,2,3.000000,127,5,5,0,0,5,1,5,1,171,32,0,0,36,0.133333,0.000000,0.066667,0.533333,0.103283,0.097292
1,17,6,40.176471,94,0,0,8,2,6,0,6,0,152,0,2,0,0,1.666667,0.400000,0.066667,1.466667,0.036031,0.645351
1,0,7,0.000000,222,0,0,0,68,5,3,5,3,181,128,0,0,0,0.933333,0.066667,0.000000,0.133333,0.089463,0.108369
0,2,4,11.000000,114,0,0,0,77,8,0,8,0,231,0,0,0,4,1.600000,0.000000,0.800000,3.200000,0.096596,0.098393
0,0,3,0.000000,74,0,0,22,0,10,2,10,2,274,53,0,0,0,0.400000,0.000000,0.000000,0.200000,0.428653,0.098064
